Rank,Land,Speler,Lidnummer,Punten,Toernooien,Confederation,Land
1,TAI,TAI Tzu Ying,61427,97867,16,Asia,Taiwan
2,JPN,Nozomi OKUHARA,96713,88800,20,Asia,Japan
3,CHN,CHEN Yufei,78778,88779,16,Asia,China
4,JPN,Akane YAMAGUCHI,96312,83943,19,Asia,Japan
5,ESP,Carolina MARIN,18228,77000,10,Europe,Spain
6,IND,PUSARLA V. Sindhu,73173,76740,17,Asia,India
7,CHN,HE Bingjiao,87434,74177,15,Asia,China
8,THA,Ratchanok INTANON,35642,73547,20,Asia,Thailand
9,IND,Saina NEHWAL,52748,69254,16,Asia,India
10,KOR,SUNG Ji Hyun,76594,62076,19,Asia,Korea
11,USA,Beiwen ZHANG,53806,57560,17,Pan America,U.S.A.
12,CHN,HAN Yue,92967,53686,20,Asia,China
13,JPN,Sayaka TAKAHASHI,34890,52507,19,Asia,Japan
14,CHN,LI Xuerui,64643,52182,15,Asia,China
15,CAN,Michelle LI,84523,51571,23,Pan America,Canada
16,INA,Gregoria Mariska TUNJUNG,83802,50790,17,Asia,Indonesia
17,CHN,CAI Yanyan,89700,49673,23,Asia,China
18,DEN,Line Hojmark KJAERSFELDT,63437,49543,18,Europe,Denmark
19,JPN,Aya OHORI,95189,48204,20,Asia,Japan
20,THA,Pornpawee CHOCHUWONG,84062,48192,18,Asia,Thailand
21,DEN,Mia BLICHFELDT,91224,48069,18,Europe,Denmark
22,CHN,GAO Fangjie,78116,46476,14,Asia,China
23,CHN,CHEN Xiaoxin,58637,46180,18,Asia,China
24,THA,Busanan ONGBAMRUNGPHAN,58271,45069,20,Asia,Thailand
25,SCO,Kirsty GILMOUR,48528,43095,15,Europe,Scotland
